order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000002.XSHE,2012-03-06,2011,q4,1302,中金财富,中金财富2012-03-06发布的报告研报摘要中含有超预期信息,2012-03-06,万科A：以价换量 销售同比逆转回升,"李少明,陈舒静",9797000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-06-06,2012,q4,1302,国泰君安,国泰君安2012-06-06发布的报告研报摘要中含有超预期信息,2012-06-06,万科A：5月销售同环比增长 3季度将迎推盘高峰,"李品科,孙建平,温阳",12942000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-08-06,2012,q4,1301,银河证券,银河证券2012-08-06发布的报告研报标题中含有超预期信息,2012-08-06,万科中报点评：业绩超预期 后发优势明显,赵强,12659600000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-08-06,2012,q4,1302,国泰君安,国泰君安2012-08-06发布的报告研报摘要中含有超预期信息,2012-08-06,万科A：拿地速度持续加快 资金优势凸显,"李品科,孙建平,温阳",12692000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-08-06,2012,q4,1302,银河证券,银河证券2012-08-06发布的报告研报摘要中含有超预期信息,2012-08-06,万科中报点评：业绩超预期 后发优势明显,赵强,12659600000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-08-07,2012,q2,1405,,2012-08-07发布的财报中，2季度净利润增速超出机构的一致预期,,,,,,,,2012-08-07,financial_reports,,,,2329148313.1500,,,,0.3139,,,,,,,,2012-08-06,,2243194945.0566,,,0.0383,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-08-07,2012,q2,1503,,2012-08-07发布的财报净利润同比增速超出2012一致预期同比增速,,,,,,,,2012-08-07,financial_reports,,,,2329148313.1500,,,,0.3139,,,,,,,,2012-08-06,,2243194945.0566,,0.2654,0.0485,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-09-04,2012,q4,1302,国泰君安,国泰君安2012-09-04发布的报告研报摘要中含有超预期信息,2012-09-04,万科A：平淡中加快拿地、蓄积能量迎推盘高峰,"李品科,孙建平,温阳",12691000000.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-10-24,2012,q3,1405,,2012-10-24发布的财报中，3季度净利润增速超出机构的一致预期,,,,,,,,2012-10-24,financial_reports,,,,1354801982.8400,,,,1.2354,,,,,,,,2012-10-23,,772902606.0716,,,0.7529,2021-04-12 11:01:47,2021-04-12 11:01:47
000002.XSHE,2012-10-24,2012,q3,1501,,2012-10-24发布的财报净利润同比增速超出一致预期2012同比增速,,,,,,,,2012-10-24,financial_reports,,,5079887062.1700,,,0.4174,,,,,,,,,,2012-10-23,12202153179.8500,,0.2678,,0.1496,2021-04-12 11:01:47,2021-04-12 11:01:47
