order_book_id,date,report_year_t,rice_create_tm,create_tm,comp_operating_revenue_t,comp_con_operating_revenue_t1,comp_con_operating_revenue_t2,comp_con_operating_revenue_t3,comp_con_operating_revenue_ftm,comp_net_profit_t,comp_con_net_profit_t1,comp_con_net_profit_t2,comp_con_net_profit_t3,comp_con_net_profit_ftm,comp_eps_t,comp_con_eps_t1,comp_con_eps_t2,comp_con_eps_t3,comp_net_asset_t,comp_con_net_asset_t1,comp_con_net_asset_t2,comp_con_net_asset_t3,comp_con_net_asset_ftm,comp_cash_flow_t,comp_con_cash_flow_t1,comp_con_cash_flow_t2,comp_con_cash_flow_t3,comp_con_cash_flow_ftm,comp_roe_t,comp_con_roe_t1,comp_con_roe_t2,comp_con_roe_t3,comp_con_roe_ftm,comp_pe_t,comp_con_pe_t1,comp_con_pe_t2,comp_con_pe_t3,comp_con_pe_ftm,comp_ps_t,comp_con_ps_t1,comp_con_ps_t2,comp_con_ps_t3,comp_con_ps_ftm,comp_pb_t,comp_con_pb_t1,comp_con_pb_t2,comp_con_pb_t3,comp_con_pb_ftm,comp_peg,comp_operating_revenue_growth_ratio_t,comp_con_operating_revenue_growth_ratio_t1,comp_con_operating_revenue_growth_ratio_t2,comp_con_operating_revenue_growth_ratio_t3,comp_con_operating_revenue_growth_ratio_ftm,comp_net_profit_growth_ratio_t,comp_con_net_profit_growth_ratio_t1,comp_con_net_profit_growth_ratio_t2,comp_con_net_profit_growth_ratio_t3,comp_con_net_profit_growth_ratio_ftm,con_grd_coef,con_targ_price,comp_con_eps_ftm,ty_profit_t1,ty_profit_t2,ty_profit_t3,ty_profit_ftm,ty_eps_t1,ty_eps_t2,ty_eps_t3,ty_eps_ftm
000034.XSHE,2015-12-21,2014,2015-12-22 00:22:40,2015-12-22 00:22:40,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,143.8388,173.3715,43.3333,39.8387,43.3333,17.3693,20.4202,0.1965,0.1854,0.1965,46.0134,40.7463,9.9796,6.833,9.9796,4.9765,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-22,2014,2015-12-22 16:11:07,2015-12-22 16:11:07,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,158.2227,190.7086,47.6667,43.8226,47.6667,19.1062,22.4622,0.2161,0.2039,0.2161,50.6148,44.8209,10.9776,7.5163,10.9776,5.4741,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-23,2014,2015-12-23 16:40:56,2015-12-23 16:40:56,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-24,2014,2015-12-24 15:54:42,2015-12-24 15:54:42,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-25,2014,2015-12-25 15:52:38,2015-12-25 15:52:38,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-28,2014,2015-12-28 15:52:32,2015-12-28 15:52:32,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-29,2014,2015-12-29 15:49:38,2015-12-29 15:49:38,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-30,2014,2015-12-30 15:58:16,2015-12-30 15:58:16,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2015-12-31,2014,2015-12-31 15:46:44,2015-12-31 15:46:44,509055702.64,433000000.0,45001000000.0,47701000000.0,45001000000.0,61471205.74,51000000.0,204044912.67,221943589.22,204044912.67,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,886000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-8579000000.0,0.4525,0.235,0.2303,0.1715,0.2303,162.765,196.1835,49.0351,45.0806,49.0351,19.6547,23.1071,0.2223,0.2098,0.2223,52.0678,46.1077,11.2927,7.7321,11.2927,5.6313,-0.045,-0.1494,102.9284,0.06,102.9284,2.6662,-0.1703,3.0009,0.0877,3.0009,2.0,24.86,0.57,51000000.0,204044912.67,221943589.22,204044912.67,0.1425,0.57,0.62,0.57
000034.XSHE,2016-01-04,2014,2016-01-04 15:46:52,2016-01-04 15:46:52,509055702.64,433000000.0,45001000000.0,47701000000.0,45226000000.0,61471205.74,51000000.0,204044912.67,221943589.22,205536469.0492,0.17,0.1425,0.57,0.62,165636614.87,217000000.0,886000000.0,1294000000.0,920000000.0,-28153147.99,7352000000.0,-8579000000.0,-164000000.0,-7877750000.0,0.4525,0.235,0.2303,0.1715,0.2234,162.765,196.1835,49.0351,45.0806,156.9376,19.6547,23.1071,0.2223,0.2098,2.4127,52.0678,46.1077,11.2927,7.7321,36.6833,5.6313,-0.045,-0.1494,102.9284,0.06,9.9057,2.6662,-0.1703,3.0009,0.0877,2.2239,2.0,24.86,0.5742,51000000.0,204044912.67,221943589.22,205536469.0492,0.1425,0.57,0.62,0.5742
