order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000415.XSHE,2011-04-23,2011,q1,1501,,2011-04-23发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-04-23,financial_reports,,,56062107.0800,,,9.1627,,,,,,,,,,2011-04-22,274648606.5450,,0.0909,,9.0717,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2011-10-28,2011,q3,1405,,2011-10-28发布的财报中，3季度净利润增速超出机构的一致预期,,,,,,,,2011-10-28,financial_reports,,,,208715109.8000,,,,3.9637,,,,,,,,2011-10-27,,130664248.1598,,,0.5973,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2011-10-28,2011,q3,1501,,2011-10-28发布的财报净利润同比增速超出一致预期2011同比增速,,,,,,,,2011-10-28,financial_reports,,,382051560.3700,,,0.9953,,,,,,,,,,2011-10-27,491332844.0000,,0.9516,,0.0437,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2011-10-28,2011,q3,1503,,2011-10-28发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2011-10-28,financial_reports,,,,208715109.8000,,,,3.9637,,,,,,,,2011-10-27,,130664248.1598,,2.1075,1.8562,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2012-03-16,2011,q4,1405,,2012-03-16发布的财报中，4季度净利润增速超出机构的一致预期,,,,,,,,2012-03-16,financial_reports,,,,122857279.7200,,,,1.0380,,,,,,,,2012-03-15,,-12050856.9213,,,11.1949,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2012-03-16,2011,q4,1503,,2012-03-16发布的财报净利润同比增速超出2011一致预期同比增速,,,,,,,,2012-03-16,financial_reports,,,,122857279.7200,,,,1.0380,,,,,,,,2012-03-15,,-12050856.9213,,-1.1999,2.2379,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2012-04-18,2012,q1,1405,,2012-04-18发布的财报中，1季度净利润增速超出机构的一致预期,,,,,,,,2012-04-18,financial_reports,,,,95668423.7900,,,,0.7065,,,,,,,,2012-04-17,,69724442.5754,,,0.3721,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2012-04-18,2012,q1,1501,,2012-04-18发布的财报净利润同比增速超出一致预期2012同比增速,,,,,,,,2012-04-18,financial_reports,,,95668423.7900,,,0.7065,,,,,,,,,,2012-04-17,627935409.9333,,0.2437,,0.4628,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2012-04-18,2012,q1,1503,,2012-04-18发布的财报净利润同比增速超出2012一致预期同比增速,,,,,,,,2012-04-18,financial_reports,,,,95668423.7900,,,,0.7065,,,,,,,,2012-04-17,,69724442.5754,,0.2437,0.4628,2021-04-12 11:01:47,2021-04-12 11:01:47
000415.XSHE,2012-08-29,2012,q2,1405,,2012-08-29发布的财报中，2季度净利润增速超出机构的一致预期,,,,,,,,2012-08-29,financial_reports,,,,151163176.5100,,,,0.2890,,,,,,,,2012-08-28,,141643952.0672,,,0.0672,2021-04-12 11:01:47,2021-04-12 11:01:47
