order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
000807.XSHE,2010q1,2011-04-25,1355297943.89,-283133580.48,-555465175.49,1805185359.05,1,5798897761.13,24073880.42,141518545.47,228534155.33,,4371272.59,10323295126.04,728175259.0,2022-01-06 08:42:44,1165107.27,3381399079.13,636373236.35,1524985956.04,4524397364.91,1524985956.04,4211747471.31,3602059349.41,37221890.3
000807.XSHE,2010q2,2011-10-24,2968506247.71,-424634601.33,-1106457951.21,1657951480.65,1,5940262121.64,11865866.45,263206324.52,184546019.97,,34789953.71,10458320985.01,613892514.44,2022-08-06 17:31:52,1501805.7999999998,3115050420.89,1017481445.2,3215064541.03,4518058863.37,3215064541.03,3736332021.12,3786099921.45,74208122.57999998
000807.XSHE,2010q3,2011-10-24,4475087228.35,-732004602.79,-1525877157.94,1495413017.98,1,6599266879.31,8193370.38,254201490.39,186892251.29,,11913184.4,11113653246.61,415654235.07,2022-01-06 08:42:44,-3025371.34,2771559486.06,2209467228.93,4836700924.01,4514386367.3,4836700924.01,4134775441.78,3723746805.23,121155753.32
000807.XSHE,2010q4,2012-03-31,6775529001.2,-219537968.17,-2091720710.14,1250301765.2,1,7334304295.32,48887752.74,306773621.22,202050338.34,,10673.71,11889385044.98,168436258.27,2022-01-06 08:42:44,15885864.95,3167505730.24,2740560446.33,7325787819.6,4555080749.66,7325787819.6,4327456491.52,4008715361.01,169774401.26
000807.XSHE,2011q1,2012-04-27,1785844432.1,-147251757.17,-487560395.96,1306020514.82,1,7470304445.8,1120232.18,307076257.28,204972283.54,,10474944.52,12164449871.64,,2022-01-06 08:42:44,-150887.14,3240123116.97,415531594.51,1950189005.08,4694145425.84,1950189005.08,4357943052.85,4013698364.67,57288111.77
000807.XSHE,2011q2,2012-10-18,3622773877.3,-52236189.96,-1186093447.3,1187097094.13,1,7967070991.59,40473424.42,346680309.08,197886107.25,,95757733.86,12704896957.71,97461673.6,2022-08-06 17:31:52,1785740.7200000002,3601199420.24,859976979.11,4013467905.05,4737825966.12,4013467905.05,4303523930.84,3941159933.07,116636570.66
000807.XSHE,2011q3,2012-10-18,5263041292.84,221216990.91,-1876794606.5,1324599033.42,1,8373779921.03,115224814.99,343342553.54,254243790.7,,22905807.43,13204222934.29,138518917.96,2022-01-06 08:42:44,4845248.58,3824563890.32,913143572.81,5924702863.58,4830443013.26,5924702863.58,3980512635.63,3875335534.61,180442320.38
000807.XSHE,2011q4,2013-04-27,7200362094.84,862281567.89,-2358851417.22,1207063426.46,1,10125613810.22,123856918.34,344654702.2,263641786.55,,26556107.04,15255565519.43,12450000.0,2022-01-06 08:42:44,4043867.82,4836629527.46,1544163316.47,8039013819.02,5129951709.21,8039013819.02,3685142170.18,4049398973.04,245985044.48
000807.XSHE,2012q1,2013-04-27,1654434467.05,322009638.12,-824807352.29,1279119547.94,1,11074711392.13,-19040827.2,439850409.83,231995327.79,,3114266.21,16091553962.06,23700151.0,2022-01-06 08:42:44,-652342.14,5181317413.56,820890135.08,1767455679.79,5016842569.93,1767455679.79,4789295417.78,3765997077.88,76994358.55
000807.XSHE,2012q2,2013-10-23,3722331476.67,787848336.06,-2101876685.76,1467371911.87,1,11708726249.79,-23373928.439999998,436024531.96,185029298.78,,9776379.92,16714564531.34,156901378.0,2022-08-06 17:31:52,-3266999.28,5615704619.86,553682227.56,3999850237.7,5005838281.55,3999850237.7,4599948557.37,4304957139.6,155099287.98000002
000807.XSHE,2012q3,2013-10-23,6157282297.42,847534831.77,-2537353754.02,1749937941.42,1,13054905996.31,-11978855.57,426774233.37,195520906.02,,24964683.11,18011698624.93,265042109.79,2022-01-06 08:42:44,4183618.53,6495991834.89,834959622.18,6600367233.86,4956792628.62,6600367233.86,4968753770.73,4833842079.21,236330408.46
