order_book_id,date,report_year,report_period,info_classification,institute,info_summary,report_date,title,author,est_profit,report_date_last,title_last,est_profit_last,info_date,report_type,forecast_profit_max,forecast_profit_min,profit,profit_q,forecast_profit_growth_limit,profit_growth,forcast_profit_growth_limit_q,profit_growth_q,fin_report_date_last,fin_report_type_last,forecast_profit_max_last,forecast_profit_min_last,profit_last,con_calc_date,con_profit,con_calc_date_last,con_profit_last,con_profit_q_last,con_profit_gr_last,con_profit_gr_q_last,expect_rate,rice_create_tm,create_tm
000887.XSHE,2012-10-29,2012,q4,1403,,2012-10-29发布的业绩预告超出机构的一致预期,,,,,,,,2012-10-29,performance_forecast,536000000.0000,444000000.0000,,,,,,,,,,,,,,2012-10-26,443336516.2895,,,,0.0015,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2012-10-29,2012,q4,1502,,2012-10-29发布的业绩预告同比增速超出一致预期2012同比增速,,,,,,,,2012-10-29,performance_forecast,536000000.0000,444000000.0000,,,0.5003,,,,,,,,,,,2012-10-26,443336516.2895,,0.4980,,0.0022,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2012-10-29,2012,q4,1504,,2012-10-29发布的业绩预告同比增速超出2012一致预期同比增速,,,,,,,,2012-10-29,performance_forecast,536000000.0000,444000000.0000,,,,,4.5251,,,,,,,,,2012-10-26,,152434525.5971,,4.5012,0.0239,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-04-09,2012,q4,1405,,2013-04-09发布的财报中，4季度净利润增速超出机构的一致预期,,,,,,,,2013-04-09,financial_reports,,,,225839833.9900,,,,7.1503,,,,,,,,2013-04-08,,220959680.4364,,,0.0221,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-04-09,2012,q4,1503,,2013-04-09发布的财报净利润同比增速超出2012一致预期同比增速,,,,,,,,2013-04-09,financial_reports,,,,225839833.9900,,,,7.1503,,,,,,,,2013-04-08,,220959680.4364,,6.9742,0.1761,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-04-24,2013,q1,1405,,2013-04-24发布的财报中，1季度净利润增速超出机构的一致预期,,,,,,,,2013-04-24,financial_reports,,,,129975245.4800,,,,0.3135,,,,,,,,2013-04-23,,91004241.3136,,,0.4282,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-04-24,2013,q1,1501,,2013-04-24发布的财报净利润同比增速超出一致预期2013同比增速,,,,,,,,2013-04-24,financial_reports,,,129975245.4800,,,0.3135,,,,,,,,,,2013-04-23,475254290.9414,,-0.0803,,0.3938,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-04-24,2013,q1,1503,,2013-04-24发布的财报净利润同比增速超出2013一致预期同比增速,,,,,,,,2013-04-24,financial_reports,,,,129975245.4800,,,,0.3135,,,,,,,,2013-04-23,,91004241.3136,,-0.0803,0.3938,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-06-01,2013,q4,1302,光大证券,光大证券2013-06-01发布的报告研报摘要中含有超预期信息,2013-06-01,汽车和汽车零部件周报（0527-0531）：乘用车行业运行良好 明显优于其他传统行业,奉玮,488537600.8400,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
000887.XSHE,2013-06-02,2013,q4,1302,银河证券,银河证券2013-06-02发布的报告研报摘要中含有超预期信息,2013-06-02,机械行业周报（0527-0531）：持续看好国防及转型装备,"邹润芳,邱世梁",476622049.6000,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-12 11:01:47,2021-04-12 11:01:47
