order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
000938.XSHE,2010q1,2011-04-26,898326222.13,-60667457.29,-33822879.74,299172899.18,1,1112441225.7,4567148.12,70670995.44,72089821.93,,350531074.74,1969928880.02,341282381.86,2022-01-06 08:50:55,4566629.48,945429197.11,37230690.81,935935368.03,857487654.32,935935368.03,1148923741.08,46672654.52,9982062.33
000938.XSHE,2010q2,2011-12-10,1876374910.62,-43416250.88,-52640422.78,286951216.02,0,1126323137.66,10275545.47,66751739.59,56900129.95,,391874369.59,1934352085.03,314437585.68,2022-01-06 08:50:55,11190726.32,1030599577.39,28796684.3,1948600461.39,808028947.37,1948600461.39,1129246451.77,46187296.64,16548203.6
000938.XSHE,2010q3,2011-12-10,2939168881.41,-39658313.68,-47800977.64,284506727.95,0,1195640886.08,27648017.59,63521460.8,74225201.02,,462133882.4,2029829400.47,403851151.1,2022-01-06 08:50:55,32871434.33,1098366662.0,66687094.31,3046484903.06,834188514.39,3046484903.06,1212788931.17,45797971.01,23712666.6
000938.XSHE,2010q4,2012-04-06,4192161607.75,157216288.84,-55374809.75,273225054.95,1,1148162469.27,35660032.42,81280464.39,76668599.73,,445435536.96,2030298228.12,344989393.72,2022-01-06 08:50:55,49270315.15,1057669112.08,-112170573.42,4355720854.94,882135758.85,4355720854.94,1119921452.26,45864044.84,28703019.41
000938.XSHE,2011q1,2012-04-26,1086765510.77,-82479851.03,-5341462.11,232472433.8,1,1121917586.02,5896683.62,78709805.28,82512852.91,,479456552.06,2004283361.61,282313615.18,2022-01-06 08:50:55,2974487.05,1032416898.83,73573807.37,1128358472.24,882365775.59,1128358472.24,1093823965.41,45340611.99,10253415.46
000938.XSHE,2011q2,2012-10-30,2281431659.1099997,-42369554.65,-9354962.24,212253352.2,1,1169739319.05,14087158.559999999,75990797.14,88929746.33,,513293815.07,2057604153.67,323805486.52,2022-08-06 17:46:55,12376338.36,1088124439.86,86637000.69,2368601687.8599997,887864834.62,2368601687.8599997,1151216646.14,44083178.21,18288374.419999998
000938.XSHE,2011q3,2012-10-30,3496423833.49,-43339744.01,92951268.59,232491498.6,1,1196992996.09,33486417.22,48971066.7,93517234.22,,488262902.33,2078939543.15,401209866.78,2022-01-06 08:50:55,24886089.84,1119218781.9,1319542.6,3644404043.75,881946547.06,3644404043.75,1269775376.31,30631785.44,27750723.81
000938.XSHE,2011q4,2013-04-02,5092349604.21,153755108.79,93148441.97,333044990.71,1,1239962471.23,44381480.47,58056087.26,99872041.18,,394983139.3,2131097782.74,469085354.68,2022-01-06 08:50:55,33014833.43,1161648381.04,-87145691.14,5315084588.89,891135311.51,5315084588.89,1276539540.64,35040494.67,32989554.34
000938.XSHE,2012q1,2013-04-24,1142449584.6,-360975492.91,-4429268.49,328987754.69,1,1068949945.0,12601215.89,57234141.15,111651828.71,,373719300.3,1966701112.4,298110519.7,2022-01-06 08:50:55,3747086.44,994733758.81,88465681.71,1193735186.54,897751167.4,1193735186.54,1116122231.07,33976209.0,8996154.7
000938.XSHE,2012q2,2013-10-26,2576464118.46,-311470190.55,-31132074.49,334834644.43,1,955980543.42,18057311.740000002,56779632.01,105576615.69,,484711977.69,2052066437.61,302908117.89,2022-08-06 17:46:55,10134794.969999999,890430231.23,122974910.69,2687276371.05,1096085894.19,2687276371.05,1197818248.39,34557735.43,20185514.71
000938.XSHE,2012q3,2013-10-26,4187507714.61,-392011056.4,-61165806.33,316922972.1,1,1369814191.0,52299820.03,55957685.9,133855449.9,,725275347.75,2494368041.48,492988080.0,2022-01-06 08:50:55,16471781.2,1308333420.81,279642111.71,4369943061.17,1124553850.48,4369943061.17,1615771720.62,33990434.01,27760212.38
000938.XSHE,2012q4,2014-04-02,6246072585.85,-129887387.15,-35361434.5,472465619.73,1,1513613493.74,89097324.95,58019575.85,152591289.8,,661300992.27,2691730550.67,780561570.18,2022-01-06 08:50:55,39958537.92,1454552379.55,201550908.4,6533823431.64,1178117056.93,6533823431.64,1809662016.94,47126845.93,33642679.95
000938.XSHE,2013q1,2014-04-25,1463596179.04,-427069790.94,-7141071.79,434570819.19,1,1358566855.86,16009653.61,71891515.53,166793248.07,,666085815.0,2561130478.4,515130883.02,2022-01-06 08:50:55,2679727.25,1302805597.67,155647544.83,1535985016.92,1202563622.54,1535985016.92,1661408923.02,49803852.61,9011513.69
000938.XSHE,2013q2,2014-10-22,3301374738.22,-268239709.42,-8703096.54,428178731.94,1,1460509155.25,28160726.069999993,71131154.96,168125642.53,,718074008.32,2640857942.51,541445637.0,2022-08-06 17:46:55,8177122.57,1410424293.06,110187681.48,3458378125.5799994,1180348787.26,3458378125.5799994,1756436514.68,50126572.21,20314673.86
000938.XSHE,2013q3,2014-10-22,5467394200.19,-242449303.06,2710997.95,470601946.99,1,1815667993.67,76349339.99,70246908.44,202355958.4,,924175563.55,3047461785.5,747572857.56,2022-01-06 08:50:55,16795608.71,1768049731.48,91872751.63,5729228887.86,1231793791.83,5729228887.86,2165559834.14,50446031.04,33152986.88
000938.XSHE,2013q4,2015-04-10,8119625781.02,123831141.81,-4144290.67,546041407.28,1,1926165298.77,140428235.57,75564957.13,233104948.85,,976888628.82,3221787662.18,816502557.7,2022-01-06 08:50:55,23049054.9,1882305816.58,-107808518.48,8520037292.29,1295622363.41,8520037292.29,2285553283.59,51478676.44,51193769.96
000938.XSHE,2014q1,2015-04-28,1909384367.82,-507109112.27,-6341543.36,670479083.92,1,1967996125.17,24244980.99,74644213.01,250737067.32,,1051000044.2,3294214601.57,811982357.0,2022-01-06 08:50:55,6138717.65,1926557518.98,225542339.69,2007817411.37,1326218476.4,2007817411.37,2366384800.64,51676689.01,15905404.88
000938.XSHE,2014q2,2015-10-29,4252025156.61,-554012586.65,-16555020.68,738175643.92,1,2254520290.91,54466120.55,75875449.73,262840587.04,,1062588524.37,4168279384.08,606007131.84,2022-08-06 17:46:55,10177044.18,2111391800.78,470425033.13,4450176775.46,1913759093.17,4450176775.46,2545535599.29,50809343.07,31279919.799999997
000938.XSHE,2014q3,2015-10-29,7116971431.88,-471531299.6,-16502772.34,780658082.76,1,2637143550.22,106704996.77,74941558.93,298896888.34,,1275288674.24,4629676352.57,781183034.89,2022-01-06 08:50:55,28647271.38,2492155828.77,467338407.89,7438634288.55,1992532802.35,7438634288.55,2963012964.68,51017163.12,54107479.97
000938.XSHE,2014q4,2016-04-30,10634976919.42,120815217.65,-247147.63,822749946.92,1,2571618411.2,172227044.59,83181922.79,342007949.34,,1182408654.01,4669921936.49,1299651631.94,2022-01-06 08:50:55,58047074.16,2416102049.35,62686621.48,11144913830.48,2098303525.29,11144913830.48,2945348732.89,50782354.95,72566182.75
000938.XSHE,2015q1,2016-04-30,2497372717.9,-533388066.59,8545846.26,1011003448.44,1,2866880862.06,36330821.74,88085353.61,373238041.41,,1250861808.82,5669533998.41,1126541441.86,2022-01-06 08:50:55,18026487.02,2597319059.44,334104312.83,2619262623.63,2802653136.35,2619262623.63,3178515763.19,49975097.24,13547865.76
