order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
002241.XSHE,2010q1,2011-04-25,277676507.44,15544332.15,-103841580.02,276546136.96,1,1036665053.41,28306122.72,98717222.76,205607272.71,,285409201.56,1977969725.9,48673285.84,2021-12-23 20:59:08,,940665053.41,48435274.6,360706093.78,941304672.49,360706093.78,1064667276.06,622124587.62,5784670.54
002241.XSHE,2010q2,2011-10-11,790892269.7800001,40781184.15,-354842709.01,314740673.38,1,1389159324.72,106920066.08999999,105924024.48,277883933.38,,517992325.45,2404176454.56,57500579.1,2022-08-09 20:12:06,,1331159324.72,273723356.46,1037741244.5899999,1015017129.84,1037741244.5899999,1268347642.68,717399675.59,18157007.130000003
002241.XSHE,2010q3,2011-10-11,1396101313.43,131109549.34,-647085353.82,341203551.33,1,1705130148.57,208169562.29,164229780.2,371179958.45,,638285517.58,3327493245.09,103424913.47,2021-12-23 20:59:08,,1322666228.57,916610074.87,1845494501.31,1622363096.52,1845494501.31,1972005852.38,778252375.9,30960910.42
002241.XSHE,2010q4,2012-02-14,1977010752.26,321385206.74,-842773784.48,263087689.83,1,1573664026.98,295404040.05,187267723.88,434098224.65,,556387647.84,3283306891.78,88890330.56,2021-12-23 20:59:08,,1194237893.18,769179370.97,2644667519.52,1709642864.8,2644667519.52,1696961571.72,1244738311.85,51607622.57
002241.XSHE,2011q1,2012-04-18,449517184.56,26530350.29,-187457908.27,323447015.34,1,1823027049.18,61308427.6,187147291.27,493180110.25,,555457917.04,3593820769.16,77641169.17,2021-12-23 20:59:08,,1442908905.38,235471514.06,612009660.44,1770793719.98,612009660.44,1878221442.55,1314993144.92,10643536.32
002241.XSHE,2011q2,2012-10-23,1065104122.37,135220709.22,-636679894.71,307253224.4,1,2115165212.84,186513171.70999998,263196140.73,538464808.92,,695203120.66,3919925662.75,42476165.11,2022-08-09 20:12:06,,1740355059.04,353972879.11,1466133873.71,1804760449.91,1466133873.71,1887444038.19,1364717232.74,27317422.1
002241.XSHE,2011q3,2012-10-23,1980033002.0,266449112.52,-1030893372.98,337475835.04,1,3011985858.22,367698108.2,363722127.9,709309774.12,,1096501521.12,4997973938.73,56085716.6,2021-12-23 20:59:08,,2710983694.42,907662642.08,2753719950.56,1985988080.51,2753719950.56,2659370506.5,1465779209.65,62658455.6
002241.XSHE,2011q4,2013-03-19,2932597613.04,557393877.38,-1462746778.74,470483098.57,1,3395286004.95,556067130.02,390223905.7,847160822.35,,1072916352.06,5568397057.82,76945828.11,2021-12-23 20:59:08,,3290286004.95,1268074467.91,4077000282.02,2173111052.87,4077000282.02,2657108903.27,1899225948.51,90713219.73
002241.XSHE,2012q1,2013-04-23,699235709.81,53236210.58,-564808477.72,647333913.34,1,3385920905.58,119581172.51,414263635.48,961885123.08,,1032794202.03,7998835204.1,101798912.85,2021-12-23 20:59:08,,3293420905.58,2359093493.2,979952086.76,4612914298.52,979952086.76,4632831015.5,2124353061.34,31966793.22
002241.XSHE,2012q2,2013-10-22,1831338193.24,150997750.24,-1192358306.53,699680891.39,1,3176219926.05,324501544.11,433399270.84,1137586803.99,,1400520765.49,7993216819.8,95658628.02,2022-08-09 20:12:06,-14034.149999999965,3102219926.05,1943774889.99,2547890307.8700004,4816996893.75,2547890307.8700004,4175181781.3,2220543609.53,53655217.45999999
002241.XSHE,2012q3,2013-10-22,3307655768.83,265217668.97,-1634473450.36,953307640.89,1,3909722212.54,592100860.98,458475877.71,1232114144.58,,1877091600.17,8826017278.4,119077108.05,2021-12-23 20:59:08,-529196.08,3848222212.54,2068140156.04,4531264610.35,4916295065.86,4531264610.35,4666504070.29,2288314974.73,72610567.55
002241.XSHE,2012q4,2014-03-12,5382859631.74,551904482.76,-2052708819.35,657546659.85,1,4151959714.41,923305968.77,545371562.41,1484406388.97,,2167719228.69,9390200660.29,83714483.51,2021-12-23 20:59:08,-444139.94,4089959714.41,2157656016.9,7253205090.54,5238240945.88,7253205090.54,4591742419.81,3317692048.52,120220636.09
002241.XSHE,2013q1,2014-04-28,1168898004.96,182383582.0,-306476304.57,716586673.57,1,3599030200.26,190322503.91,537869787.6,1677980014.25,,1614078486.71,9020294124.93,46707922.98,2021-12-23 20:59:08,783483.21,3549530200.26,24100010.66,1602889773.94,5421263924.67,1602889773.94,4085279977.39,3391104863.22,36921195.16
002241.XSHE,2013q2,2014-10-22,2647719685.17,367990501.77,-409706198.42,818312207.63,1,4579792778.95,480885504.51000005,528521896.63,1840481203.61,,2109944353.51,10164726631.74,29271278.49,2022-08-09 20:12:06,1695837.8599999999,4548792778.95,456594753.61,3665386558.9999995,5584933852.79,3665386558.9999995,5144900372.03,3554090512.58,81633896.23
002241.XSHE,2013q3,2014-10-22,4493355536.55,198917980.98,-746702063.95,1243162637.27,1,5165235676.54,845333701.09,552501164.11,2199426273.48,,2991552213.6,11108853837.6,41279195.04,2021-12-23 20:59:08,3410894.05,5134235676.54,367254408.32,6236221085.53,5943618161.06,6236221085.53,5965497430.96,3637575870.48,119722438.18
002241.XSHE,2013q4,2015-03-31,7350136643.81,846408907.85,-1010272112.93,1177987887.47,1,6177595341.9,1324522036.74,583482127.57,2536158056.95,,3755521387.68,12596399267.83,47392338.79,2021-12-23 20:59:08,5304160.84,6129525341.9,477546966.96,10048818481.3,6418803925.93,10048818481.3,7166745911.6,4138984821.23,173443322.16
002241.XSHE,2014q1,2015-04-24,1536922032.46,437944440.64,-326335491.74,1358629907.58,1,5531586552.74,263323777.4,546638521.09,2793960973.78,,2680848817.3,12214523824.94,43099874.06,2021-12-23 20:59:08,1207928.87,5489711552.74,-214883868.55,2096610415.96,6682937272.2,2096610415.96,6444350265.24,4171338826.94,18970817.78
002241.XSHE,2014q2,2015-10-29,3383751203.79,687103601.1,-753518179.91,1968933504.14,1,6382680230.29,616942603.04,623221725.89,2991046041.92,,2603715958.13,13300750944.13,43976487.6,2022-08-09 20:12:06,128847.84000000032,5433412860.92,178113834.48,4673051154.85,6918070713.84,4673051154.85,7148458370.72,4192592892.51,43207290.900000006
002241.XSHE,2014q3,2015-10-29,6065361133.88,486880080.29,-1186550691.92,2419501083.97,1,7408260390.23,1087688557.53,688782025.14,3456322625.63,,3878913663.6,14875620981.03,92173207.28,2021-12-23 20:59:08,2918702.43,5862041276.37,601264532.72,8358598396.43,7467360590.8,8358598396.43,8560134614.35,4355134870.77,83384357.06
002241.XSHE,2014q4,2016-03-29,9215538080.12,1164874983.68,-1680337823.61,1612840054.14,1,9235735071.57,1684311572.99,1041683110.22,3899383007.78,,4152935992.0,17757736753.65,97873046.69,2021-12-23 20:59:08,2132101.39,5629190851.72,2786925216.79,12698986013.34,8522001682.08,12698986013.34,10773130803.85,5120578551.16,140576207.63
002241.XSHE,2015q1,2016-04-22,1770251651.42,358421585.7,-357291576.67,1934318304.98,1,7836741724.11,268125819.43,1120415205.82,4169109694.14,,2886379370.67,16634771154.39,71937251.57,2021-12-23 20:59:08,163179.39,4231897363.06,-607127226.89,2421377904.91,8798029430.28,2421377904.91,9430776135.21,5276541231.04,33484607.19
002241.XSHE,2015q2,2016-10-25,4009014884.64,861736417.11,-785408694.29,2232814009.25,1,7983611099.89,515343225.26000005,1101661176.25,4265111133.61,,3029075420.93,16898092991.5,44960012.52,2022-08-09 20:12:06,201677.75999999998,4295796285.04,-1450585327.38,5416370473.97,8914481891.61,5416370473.97,9389153318.85,5395734104.14,95215385.18
002241.XSHE,2015q3,2016-10-25,6768658726.25,805369982.82,-1458827448.81,2507311854.03,1,9924567971.52,854339714.7,1246869772.26,4574934194.22,,4317514323.88,19155102731.59,89637912.81,2021-12-23 20:59:08,336301.36,5954625780.93,-808645168.89,9096463260.02,9230534760.07,9096463260.02,10840420088.34,5662652367.14,162322166.24
002241.XSHE,2015q4,2017-03-22,10256144959.19,2409073442.96,-2228371841.13,2146925765.08,1,9750973696.85,1240405414.7,1265802527.01,4833470848.5,,3745273708.37,19247946022.32,93322248.89,2021-12-23 20:59:08,236379.92,5899874039.02,-379891707.56,13656025765.75,9496972325.47,13656025765.75,10643082173.25,5895618095.7,188018095.85
002241.XSHE,2016q1,2017-04-27,2036354829.68,49948938.66,-758402250.8,2535174635.86,1,8476129333.11,194214450.3,1298723571.49,5030780417.06,,3225138638.38,18189119414.96,106198483.04,2021-12-23 20:59:08,-3214118.9,4623392382.5,-741411869.51,2688756232.04,9712990081.85,2688756232.04,9116959315.17,6048025178.84,52146907.98
002241.XSHE,2016q2,2017-10-20,5046329731.449999,442475140.07,-1709269568.27,3089001723.6,1,10485237868.15,462782872.21000004,1286858113.2,5155065195.96,,3836583462.47,20290188190.69,93566394.42,2022-08-09 20:12:06,-2812118.91,7665885112.43,-602903708.31,6545099028.389999,9804950322.54,6545099028.389999,10420427898.16,6142499396.27,105855235.84
002241.XSHE,2016q3,2017-10-20,9800284930.63,404322169.38,-2820298974.23,3263762843.9,1,13025466000.17,1013565897.63,1442177775.99,5717250208.6,,6081238634.48,23377344892.52,175401248.36,2021-12-23 20:59:08,1950026.16,10335186986.63,167481226.08,12604865100.13,10351878892.35,12604865100.13,12762987558.88,6572808091.48,146923241.16
002241.XSHE,2016q4,2019-04-20,14969060198.52,2269218472.87,-3469913965.66,2432731781.83,1,12063660392.19,1608949366.19,1452935940.75,6211693581.18,,5404065024.27,22912092546.16,202750220.62,2021-12-23 20:59:08,1865521.62,9216109357.38,473134478.34,19287807649.88,10848432153.97,19287807649.88,11817875873.91,7141603302.13,86005142.58
002241.XSHE,2017q1,2018-04-21,3515308762.16,357015079.81,-544583420.59,2799320723.89,1,12301696536.56,287950842.42,1542758035.49,6510812136.68,,4571649611.59,23514910360.17,220943962.14,2021-12-23 20:59:08,-829138.65,8971251250.03,-21474267.7,4525923770.19,11213213823.61,4525923770.19,12016106730.72,7398868590.81,97229277.96
002241.XSHE,2017q2,2018-10-26,7765796964.65,1512063618.0,-1992085835.58,3510444547.57,1,11164416632.51,706565059.09,1505231678.72,6699739362.29,,4623627771.48,24845882429.25,263448522.92,2022-08-09 20:12:06,5112315.960000001,9851166978.7,333174244.01,9973937503.79,13681465796.74,9973937503.79,12410728907.18,7581249332.29,203486608.82
002241.XSHE,2017q3,2018-10-26,13627554969.89,1353317864.04,-2615758780.46,3879289866.35,1,11902022181.22,1370074876.68,1503795790.86,7366235932.39,,6044717697.89,26136738027.75,303466904.28,2021-12-23 20:59:08,11953931.22,10662432823.38,33954636.77,17260042795.7,14234715846.53,17260042795.7,13197437783.9,8017004019.77,350089627.81
002241.XSHE,2017q4,2020-04-17,19917183898.74,3530997034.99,-3776396549.75,2994630931.07,1,11653119719.97,2106754596.4,1610144271.45,7853476568.01,,6290563594.39,26570592215.26,373050259.18,2021-12-23 20:59:08,-3479811.68,10462344739.61,550994616.74,25536136274.87,14917472495.29,25536136274.87,13246276215.62,9567075958.26,420747958.78
002241.XSHE,2018q1,2019-04-25,3159550240.33,742372492.02,-522140743.62,3760839389.1,1,9845730338.68,181091258.86,1664721187.18,8037285105.44,,3469294832.22,24917768263.09,289675500.31,2021-12-23 20:59:08,1894565.66,8578313707.42,-243421914.49,4045738552.24,15072037924.41,4045738552.24,11187926303.93,9475675611.13,166223801.33
