order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
002261.XSHE,2010q1,2011-04-29,25052095.14,-11356210.42,-45093127.36,29507108.03,1,34713262.6,18293362.65,19084067.73,258439925.75,,32586402.59,676832884.86,,2021-12-26 22:26:06,1103181.05,33044929.27,980000.0,65452351.75,642119622.26,65452351.75,584703479.09,58658630.24,-2090292.7
002261.XSHE,2010q2,2011-10-20,58008855.589999996,-3271167.63,-83846795.75,35158024.1,1,40193329.31,44128835.59,18318591.28,272298095.87,,42169497.31,697207649.91,,2022-08-09 20:15:30,2321416.8400000003,38524995.98,-10201216.6,145625016.26,657014320.6,145625016.26,603862912.0,59342974.94,-4088621.65
002261.XSHE,2010q3,2011-10-20,97323185.35,26343763.16,-124208851.37,35838347.29,1,60728384.39,84020731.34,18482576.81,311582590.79,,62460112.42,755884932.37,,2021-12-26 22:26:06,2402360.39,59060051.06,-10201216.6,252987748.52,695156547.98,252987748.52,659973732.18,60546560.88,-6691524.92
002261.XSHE,2010q4,2012-04-20,137005596.81,78677687.08,-26516490.21,32879952.17,1,92155524.2,113748937.51,24879489.09,334224291.79,,64191717.1,839564685.24,2677432.0,2021-12-26 22:26:06,3715824.13,81887224.25,19602793.4,357318681.64,747409161.04,357318681.64,729952964.59,60092795.07,-8337789.99
002261.XSHE,2011q1,2012-04-20,39958948.85,-4600866.6,8027656.96,40812601.36,1,83448988.47,22055452.09,23773070.2,356063797.13,,76376638.81,865590410.97,,2021-12-26 22:26:06,,72280688.52,3977262.5,96896129.29,782141422.5,96896129.29,754849873.14,59092068.11,-2042375.35
002261.XSHE,2011q2,2012-10-25,76597135.13,-5514167.33,-71977721.41,51305736.83,1,74809788.53,44428674.47,51104223.17,362724801.26,,91073276.64,874054969.31,,2022-08-09 20:15:30,-1417373.44,64990690.29,-9985459.1,191792868.31,799245180.78,191792868.31,732027543.96,60513082.08,-3955076.9300000006
002261.XSHE,2011q3,2012-10-25,117955520.1,-22528551.57,-80546852.6,63328346.72,1,86569149.2,52072392.69,49677481.66,364768586.24,,117834159.93,905497696.37,,2021-12-26 22:26:06,-1986180.4,72500050.96,-6259849.1,276600126.11,818928547.17,276600126.11,756124092.43,60183256.81,-5894179.32
002261.XSHE,2011q4,2013-04-24,165681929.52,25246914.72,-69693755.29,80144348.21,1,98326067.38,76924617.75,50032229.8,381768957.61,,99681505.6,934230202.48,,2021-12-26 22:26:06,-2351795.75,96654360.08,-32130519.24,371663578.21,835904135.1,371663578.21,765714702.68,60083930.42,-8669603.45
002261.XSHE,2012q1,2013-04-24,34524710.91,-22426433.42,25366177.53,90831090.44,1,130193817.76,16163555.01,52105805.24,398282695.91,,122173069.06,981387665.9,,2021-12-26 22:26:06,1014237.08,123132749.35,0.0,87344064.73,851193848.14,87344064.73,765707728.61,59283857.48,-2745484.81
002261.XSHE,2012q2,2013-10-25,84039991.53999999,-48433168.85,53515215.23,101132368.63,1,107745848.6,25307898.65,50615795.33,398479485.8,,140696285.37,960175783.34,,2022-08-09 20:15:30,606505.97,105562493.26,-6091011.72,186550499.95,852429934.74,186550499.95,742650128.25,59422846.8,-4763907.66
002261.XSHE,2012q3,2013-10-25,131780065.56,-55471565.04,87386643.08,103301528.15,1,120373835.26,34739676.66,49210382.78,408521401.81,,160960274.65,982395548.02,,2021-12-26 22:26:06,1162340.76,118190479.92,-9046039.71,291347611.39,862021712.76,291347611.39,704177360.81,115937224.77,-7507434.13
002261.XSHE,2012q4,2014-03-28,212106558.57,57617192.53,2412856.98,77240371.71,1,104293440.12,39374728.43,53928536.72,410421995.99,,117774534.69,970964849.62,,2021-12-26 22:26:06,1141206.73,103243077.59,-7396396.71,432796462.64,866671409.5,432796462.64,692661948.4,112469498.61,-9010172.9
002261.XSHE,2013q1,2014-04-22,38308241.18,-42232706.45,-69802910.39,75575227.92,1,79975694.29,9878532.53,57653605.94,419514383.05,,156669611.73,956540339.69,,2021-12-26 22:26:06,,79259943.38,0.0,101272380.2,876564645.4,101272380.2,680788580.63,111410738.46,-1657018.28
