order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
300394.XSHE,2011q4,2014-12-18,42864700.0,22925300.0,-54884200.0,19068500.0,0,12715100.0,47983100.0,16671800.0,25073100.0,,44649200.0,163595400.0,556900.0,2021-12-24 23:00:17,,12715100.0,24633200.0,110433600.0,150880300.0,110433600.0,89102500.0,51654700.0,841400.0
300394.XSHE,2012q4,2015-02-02,62011514.8,38142842.3,-9545978.51,21979169.95,0,17325575.53,55256687.52,16329129.92,75184857.33,,54242430.31,223462579.74,2495543.5,2021-12-24 23:00:17,,15925575.53,0.0,144465158.56,206137004.21,144465158.56,142442989.2,56850062.0,-45347.2
300394.XSHE,2013q1,2014-06-27,,11695200.0,,,1,,10224700.0,,,,,,,2023-06-21 16:14:57,,,,30378100.0,,30378100.0,,,
300394.XSHE,2013q4,2015-02-02,60917838.98,48414464.38,-9833738.08,20587710.78,0,16249151.94,57906493.62,15986494.52,116935194.51,,64125516.19,269654649.77,,2021-12-24 23:00:17,,14849151.94,-10638000.0,150808332.82,253405497.83,150808332.82,186284292.67,64768607.05,-240445.33
300394.XSHE,2014q1,2015-04-25,16244974.87,17152497.43,-4973292.01,,1,,16961480.87,,,,,270279700.0,,2021-12-24 23:00:17,,,-16548000.0,42066689.89,,42066689.89,,,-310932.68
300394.XSHE,2014q2,2015-10-27,36844113.86,35770430.32,-17678743.27,20827800.0,1,21245800.0,42025723.089999996,15815200.0,142412900.0,,77216400.0,300129000.0,,2022-08-06 17:39:07,0.0,19845800.0,-16548000.0,101006914.50999999,278883200.0,101006914.50999999,202762000.0,75458100.0,-595867.5
300394.XSHE,2014q3,2015-10-27,53676858.53,35387227.69,-7769357.0,,1,,65520993.73,,,,,,,2021-12-24 23:00:17,0.0,,-16548000.0,151001793.75,,151001793.75,,,-977242.15
300394.XSHE,2014q4,2016-04-12,74321944.5,59985442.43,-35616932.87,30690987.41,1,19580795.09,88675340.99,15643859.12,180341502.29,,67903641.56,345113633.91,1451734.65,2021-12-24 23:00:17,0.0,19580795.09,-16548000.0,200643770.1,325532838.82,200643770.1,236119183.62,75134557.64,-1186755.23
300394.XSHE,2015q1,2016-04-20,19836762.18,18415849.71,-10737744.15,36158836.53,1,88883509.83,22566486.61,15558200.27,203920994.63,,79941047.2,723509427.29,,2021-12-24 23:00:17,,88883509.83,352215726.1,54092195.37,634625917.46,54092195.37,610281070.61,74122704.03,-509095.07
300394.XSHE,2015q2,2016-10-25,42630162.79,44805114.35,-218637233.37,38513660.62,1,20169528.81,47588188.349999994,15472541.42,191063696.18,,75292580.6,641938147.82,0.0,2022-08-06 17:39:07,68493.1499999999,20169528.81,248651660.15,113239929.13,621768619.01,113239929.13,520322433.37,72866894.77,-1523573.6
300394.XSHE,2015q3,2016-10-25,62918349.12,66871820.11,-275204226.78,38195813.01,1,20637812.46,70188752.94,15386882.57,213633860.22,,72288932.09,665006996.06,0.0,2021-12-24 23:00:17,1290136.99,19787812.46,248312093.37,167009309.15,644369183.6,167009309.15,520550819.02,78624691.3,-2869288.6
300394.XSHE,2015q4,2017-03-18,87507001.25,103330861.15,-287928122.52,34618907.37,1,30282380.95,103265623.65,15301223.72,236208431.01,,82218692.76,707424429.72,0.0,2021-12-24 23:00:17,4040273.98,29772380.95,248343586.3,237030890.85,677142048.77,237030890.85,540091340.94,96268905.5,-3486613.18
300394.XSHE,2016q1,2017-04-20,27048778.03,35727724.72,110493921.26,33564266.77,1,34137654.41,28644780.14,15215564.87,264853211.15,,94790675.51,739924483.32,,2021-12-24 23:00:17,2772262.78,33797654.41,,70717102.87,705786828.91,70717102.87,552908648.56,104512963.63,-925166.96
300394.XSHE,2016q2,2017-10-24,52382090.05000001,63411545.44,31669426.27,39284531.25,1,43037749.82,60185481.04,15129906.02,254986578.07,,88543686.38,738957945.65,,2022-08-06 17:39:07,4351577.85,42867749.82,-41781953.01,144026430.75,695920195.83,144026430.75,520928063.19,121858301.55,-3176273.1100000003
300394.XSHE,2016q3,2017-10-24,84994823.29,102607075.86,-10543672.65,42478377.6,1,47206067.35,88793770.5,15044247.17,283594867.53,,93604918.5,771734552.64,1294382.24,2021-12-24 23:00:17,4463089.3,45899192.35,-41806953.01,224923193.87,724528485.29,224923193.87,533615611.32,161596108.83,-3894596.6
