order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
300395.XSHE,2011q4,2014-08-20,150623891.28,46412219.68,-78757392.14,45348681.96,0,119022367.74,57717224.62,9290026.18,104590583.92,,33024956.78,332915188.11,,2021-12-28 22:40:58,,98101501.97,38420222.3,270728011.41,213892820.37,270728011.41,175723144.59,141105645.94,3082377.96
300395.XSHE,2012q4,2014-08-20,148288331.45,78972481.42,-39211165.74,60102147.55,0,142822525.9,61971763.96,8945087.29,148324297.88,,35788751.29,406587110.23,90000.0,2021-12-28 22:40:58,,117187486.95,-3500962.58,284881526.59,263764584.33,284881526.59,226243735.42,168223068.52,5120009.73
300395.XSHE,2013q2,2014-10-22,76070616.93,,,,1,,28448594.559999995,,,,,,,2022-08-06 17:39:12,,,,137689112.12,,137689112.12,,,3321981.45
300395.XSHE,2013q3,2014-10-22,109243626.31,36621820.26,-17056494.44,,1,,44833278.98,,,,,,,2021-12-28 22:40:58,,,-36619956.22,208090613.32,,208090613.32,,,4538520.41
300395.XSHE,2013q4,2015-03-17,140432102.54,60551790.91,-18335477.51,49688630.67,1,101149100.02,69146555.6,8601037.09,198583328.28,,49064869.38,421960239.95,4000000.0,2021-12-28 22:40:58,,77861007.71,-57388856.22,282258940.42,320811139.93,282258940.42,238677185.75,171316736.39,5608027.86
300395.XSHE,2014q1,2015-04-21,24130872.11,4624832.77,-2205085.15,,1,,12666150.13,,,,,,,2021-12-28 22:40:58,,,-21557050.0,52438512.18,,52438512.18,,,341149.81
300395.XSHE,2014q2,2015-10-22,62825641.20999999,9614266.13,-5086263.67,52266263.09,1,114859091.43,31266764.42,8429011.99,217750092.7,,67350053.5,454836995.78,8300595.52,2022-08-06 17:39:12,,92706177.8,-11177700.0,134832531.09,339977904.35,134832531.09,267720503.45,171940646.89,504749.17
300395.XSHE,2014q3,2015-10-22,97116497.35,16010189.62,-7658556.25,56315211.58,1,127367363.88,44118610.25,8342999.44,230601938.53,,96206471.05,752177385.52,16301172.21,2021-12-28 22:40:58,,100531738.43,256266729.0,202810223.31,624810021.64,202810223.31,566659452.68,169145261.57,486243.87
300395.XSHE,2014q4,2016-04-19,140656512.4,35518607.79,-18065319.78,44460775.16,1,108641912.55,69629628.23,8256986.89,249363091.33,,72254153.08,757523211.61,9589089.46,2021-12-28 22:40:58,,80180442.72,255049880.9,287215619.37,648881299.06,287215619.37,568299784.54,166801324.73,-82900.04
300395.XSHE,2015q1,2016-04-26,33613270.6,18027526.35,-5500024.51,51244745.37,1,76855069.5,12088769.92,8170974.34,261451861.25,,89815723.85,737825138.48,7046342.32,2021-12-28 22:40:58,,49306318.9,-29085800.0,61315417.95,660970068.98,61315417.95,546956954.69,166155084.67,-3194696.01
