order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
600809.XSHG,2010q1,2011-04-22,264852420.47,134739560.95,-7441829.96,735246566.0,1,633781566.61,303838975.21,29349163.81,978974524.62,,94619474.44,2609774368.53,64550000.0,2022-01-06 09:51:49,,633781566.61,-120010080.0,1032526652.57,1975992801.92,1032526652.57,2087135557.08,456005121.96,-1315595.99
600809.XSHG,2010q2,2011-10-21,389780183.49,124383456.78,-15062318.26,842757608.33,1,763939806.22,391335383.97,29039536.75,836059017.47,,121413639.85,2610966950.4,37250000.0,2022-08-06 18:52:37,0.0,763939806.22,-228411233.81,1609207594.9799998,1847027144.18,1609207594.9799998,2090120386.77,446303530.09,-1717850.2300000002
600809.XSHG,2010q3,2011-10-21,560131932.4,627603528.96,-65570261.38,796917708.11,1,794892553.12,647915764.85,28705281.74,1039056592.46,,124107145.63,2898500078.18,53650000.0,2022-01-06 09:51:49,161942.4,794892553.12,-329907991.81,2392606141.49,2103607525.06,2392606141.49,2332872431.93,439428529.79,-3027344.24
600809.XSHG,2010q4,2012-04-10,706153649.66,814767060.07,-185218321.65,1015851955.83,1,1396194419.32,601924694.75,28419426.73,938444307.76,,25738199.99,3455810874.28,86300000.0,2022-01-06 09:51:49,161942.4,1396194419.32,-256029505.68,3016625047.55,2059616454.96,3016625047.55,2834561823.11,436196146.49,-4437108.21
600809.XSHG,2011q1,2012-04-19,454379398.37,496698397.99,-34087410.75,805195032.67,1,1268921682.71,578866660.36,28109371.72,1336529001.05,,58009312.27,3799404798.03,96400000.0,2022-01-06 09:51:49,227179.57,1268921682.71,-108000000.0,1872396238.86,2530483115.32,1872396238.86,3138622810.75,433074166.2,-2076375.3
600809.XSHG,2011q2,2012-10-20,703883118.71,785702654.33,-111282065.18,1013033579.7,1,1489129883.19,771190266.4499999,27799316.71,1380607431.01,,100250034.52,3995474538.1,52800000.0,2022-08-06 18:52:37,227179.57,1489129883.19,-318157209.03,2894818754.24,2506344654.91,2894818754.24,3262888949.32,431232421.03,-3213188.2
600809.XSHG,2011q3,2012-10-20,850788844.12,992937660.11,-243672608.55,1069981236.6,1,1536380410.44,855133339.29,27489261.7,1429519381.07,,136335825.74,4126668138.19,114250000.0,2022-01-06 09:51:49,227179.57,1536380410.44,-318759809.03,3563657263.06,2590287727.75,3563657263.06,3271452337.43,429105954.29,-3970193.35
600809.XSHG,2011q4,2013-04-09,1077192250.84,1596747067.85,-255694205.69,1249734003.57,1,2330438645.02,924560358.94,27179206.69,1502529721.58,,23145910.95,4911753392.42,141200000.0,2022-01-06 09:51:49,611625.19,2330438645.02,-401796254.0,4488148103.84,2581314747.4,4488148103.84,4013537655.18,609649869.28,-11654592.07
600809.XSHG,2012q1,2013-04-20,509939837.86,287753612.21,-45794210.08,1126158285.59,1,2485709096.78,593560906.62,129347433.8,1995062110.33,,66878783.93,5660584750.8,90200000.0,2022-01-06 09:51:49,,2485709096.78,,2214014117.78,3174875654.02,2214014117.78,4745831515.91,596494103.81,-4743811.66
600809.XSHG,2012q2,2013-10-22,910678123.9000001,603619437.12,-84914878.22,1214464913.93,1,2010914974.8,962686161.13,128708323.66,1639984260.43,,101035553.83,5272054019.14,110150000.0,2022-08-06 18:52:37,,2010914974.8,-221509595.94,3815652139.95,3261139044.34,3815652139.95,4328794456.3,591124471.01,-15269437.75
