order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
601456.XSHG,2010q4,2015-05-25,,-7652994.13,-113474905.93,,1,11753004961.57,458433459.32,7367266.85,453559982.52,559269633.3,,14572461769.8,,2021-12-30 20:54:58,105450986.78,,-450000000.0,1175965091.35,2819456808.23,1175965091.35,,153609540.25,
601456.XSHG,2011q4,2016-01-07,,-5558417460.63,-121680853.68,,1,7133929476.53,126621224.25,11091420.18,545702820.07,712521608.92,,10331213960.22,,2021-12-30 20:54:58,68387967.11,,881301362.48,872310213.31,3197284483.69,872310213.31,,163823760.92,
601456.XSHG,2012q4,2016-01-07,,-673188791.23,-221946038.02,,0,6055023141.47,92071820.25,12062515.28,574305357.74,698460283.12,20000.0,9307467925.51,,2021-12-30 20:54:58,85365519.67,,-86103833.34,821989902.26,3252444784.04,821989902.26,,145239936.38,
601456.XSHG,2013q4,2016-12-23,,-1331263000.0,-810017000.0,,0,8471772000.0,272787000.0,11875000.0,711594000.0,629826000.0,16100879.5,11932291000.0,,2021-12-30 20:54:58,163935000.0,,-70992000.0,1000977000.0,3460519000.0,1000977000.0,,117029000.0,
601456.XSHG,2014q2,2015-05-25,,1001000000.0,-2000000.0,,0,7048000000.0,151000000.0,8000000.0,790000000.0,332000000.0,,10647000000.0,,2021-12-30 20:54:58,175000000.0,,-60000000.0,530000000.0,3598000000.0,530000000.0,,111000000.0,
601456.XSHG,2014q4,2018-01-19,,3294515000.0,-188100000.0,,0,16100188000.0,730378000.0,24071000.0,1181898000.0,707906000.0,2090000.0,20448835000.0,,2021-12-30 20:54:58,558627000.0,,1698983000.0,1668332000.0,4348647000.0,1668332000.0,,104652000.0,
601456.XSHG,2015q2,2016-01-07,,12792667636.41,-45841534.83,,0,35236832737.0,966022754.7,18903835.04,2033643640.17,464910841.68,,40458620304.45,,2021-12-30 20:54:58,527294725.96,,3782599055.43,1750939745.34,5221787567.5,1750939745.34,,103120717.85,
601456.XSHG,2015q4,2018-01-19,,4330361000.0,-657708000.0,,0,23144867000.0,1498287000.0,28580000.0,2121017000.0,1094457000.0,16745601.19,31173636000.0,,2021-12-30 20:54:58,804277000.0,,5422816000.0,3079072000.0,8028769000.0,3079072000.0,,103640342.19,
601456.XSHG,2016q2,2017-08-30,,49611000.0,-201010000.0,,1,20638415000.0,348637000.0,21123000.0,1694379000.0,462677000.0,,28196780000.0,,2021-12-30 20:54:58,94477000.0,,-2204174000.0,929033000.0,7558365000.0,929033000.0,,104662000.0,
601456.XSHG,2016q4,2018-03-30,,-1687821528.43,-121507749.11,,1,16096311301.34,643608991.83,27625249.41,1791791331.26,979378542.73,48173189.72,23992481634.31,,2021-12-30 20:54:58,256126683.8,,-3447905722.87,1836463830.87,7896170332.97,1836463830.87,,105571932.44,
601456.XSHG,2017q1,2017-08-21,,-343710000.0,664510000.0,,0,16478416000.0,141459000.0,23443000.0,1927484000.0,148589000.0,95196000.0,24510501000.0,,2021-12-30 20:54:58,96951000.0,,-38152000.0,331854000.0,8032084000.0,331854000.0,,101646000.0,
601456.XSHG,2017q2,2018-08-30,,-2855471000.0,700733000.0,,1,14402106000.0,241266000.0,25684000.0,1763386000.0,314917000.0,43903000.0,22275204000.0,,2021-12-30 20:54:58,147373000.0,,-288163000.0,618809000.0,7873098000.0,618809000.0,,98909000.0,
601456.XSHG,2017q3,2018-02-01,,-5027705000.0,338617000.0,,0,16333953000.0,387963000.0,22966000.0,1896660000.0,517247000.0,47476000.0,23968739000.0,,2021-12-30 20:54:58,212942000.0,,2645501000.0,1015662000.0,7634786000.0,1015662000.0,,100910000.0,
601456.XSHG,2017q4,2020-07-13,,-6669049000.0,703952000.0,,0,16473426000.0,373648000.0,26582000.0,1750676000.0,749892000.0,39373000.0,24065998000.0,,2021-12-30 20:54:58,218576000.0,,2509066000.0,1262535000.0,7592572000.0,1262535000.0,,98599000.0,
601456.XSHG,2018q2,2019-08-30,,-275789000.0,-216825000.0,,1,17466196000.0,133498000.0,21263000.0,1893612000.0,395254000.0,35017000.0,25198290000.0,,2021-12-30 20:54:58,27220000.0,,-490233000.0,574158000.0,7732094000.0,574158000.0,,98198000.0,
601456.XSHG,2018q4,2021-03-19,,-275789000.0,-216825000.0,,1,13634592000.0,50588000.0,35894000.0,1761000000.0,918716000.0,25091000.0,21283776000.0,,2021-12-30 20:54:58,-23338000.0,,-490233000.0,989719000.0,7649184000.0,989719000.0,,95452000.0,
601456.XSHG,2019q1,2020-07-13,,4296457000.0,-198889000.0,,1,,295384000.0,,,,,,,2021-12-30 20:54:58,,,443224000.0,577211000.0,,577211000.0,,,
601456.XSHG,2019q2,2020-10-29,,4188611024.72,300105616.34,,1,16770898000.0,356321255.47,33271000.0,2013319000.0,383508047.51,,24673201000.0,,2022-08-09 18:17:54,132298800.94000001,,95239097.13,851428869.99,7902303000.0,851428869.99,,,
601456.XSHG,2019q3,2020-10-29,,4261928688.76,-221996682.52,,1,16905043000.0,477873806.55,42807000.0,2134872000.0,574758788.76,39868000.0,24928899000.0,,2021-12-30 20:54:58,203551717.08,,-712383455.24,1208112772.95,8023856000.0,1208112772.95,,86681000.0,
601456.XSHG,2019q4,2022-03-25,,3796785086.93,55549307.88,,1,20352076887.73,521344151.14,50297363.91,2023126948.29,931868050.0,92969173.83,28419402850.65,,2022-03-25 04:22:00,215228124.54,,-609287812.51,1619382372.77,8067325962.92,1619382372.77,,88137120.1,
601456.XSHG,2020q1,2021-04-30,,-1122661737.06,110145750.39,,1,29173844000.0,229311639.83,,,181720034.21,,37470481000.0,,2021-12-30 20:54:58,87629570.82,,3558148905.06,495097104.51,8296637000.0,495097104.51,,,
601456.XSHG,2020q2,2021-08-25,,-1209229608.01,-532814291.85,,1,28543318008.56,321243168.59,37763926.96,2343554107.91,383759454.84,,36932076101.23,,2021-12-30 20:54:58,243357577.1,,2472213655.91,822341043.04,8388758092.67,822341043.04,,86024883.72,
601456.XSHG,2020q3,2021-10-29,,-2716265913.56,-1474007612.86,,1,31043558821.78,459155385.32,45575553.1,2481247963.75,731549818.1,,41513506834.02,,2021-12-30 20:54:58,429683787.63,,5998565295.32,1365263095.93,10469948012.24,1365263095.93,,,
601456.XSHG,2020q4,2023-03-29,,-4396968697.79,-1332650049.51,,1,35625778979.1,587871418.22,59145356.02,2427072051.21,1087621721.38,,46219949000.19,,2023-03-28 20:17:48,592290278.29,,9136907221.22,1876340313.32,10594170021.09,1876340313.32,,88752286.14,
601456.XSHG,2021q1,2022-04-30,,-204320126.71,-525482362.88,,1,42309104604.08,157311074.79,51512248.17,2584383126.0,265293656.87,,53056060491.47,,2022-04-29 20:35:13,119042267.41,,-1061046455.75,470589947.35,10746955887.39,470589947.35,,,
601456.XSHG,2021q2,2022-08-27,,-1709522912.45,-3386237110.79,,1,48965098818.36,378997194.61,44835047.77,2520331447.42,622525866.68,,59599039632.44,,2022-08-26 20:40:22,399161472.61,,2943584989.93,1130098239.5,10633940814.08,1130098239.5,,90882257.5,
601456.XSHG,2021q3,2022-10-28,,-4637043605.38,-5182170948.06,,1,48657958357.69,656901613.12,55067007.98,2796585931.66,1180770155.95,,64712605501.54,,2022-10-27 21:10:05,923487119.69,,9933774040.86,2053834496.06,16054647143.85,2053834496.06,,,
601456.XSHG,2021q4,2024-03-27,,-5186349934.41,-6322030532.39,,1,49558169528.79,888639753.44,57761962.66,2801580855.88,1786853241.03,,65939237816.69,,2024-03-26 20:13:57,1216384986.75,,9175535053.87,2966631400.54,16381068287.9,2966631400.54,,95843101.5,
601456.XSHG,2022q1,2023-04-29,,-5058411560.62,2892526172.8,,1,55757974836.4,188856677.8,52924096.87,3095262827.61,385518564.96,,72371982469.17,,2023-04-28 20:37:32,-71022339.02,,1356060421.36,636002769.33,16614007632.77,636002769.33,,,
601456.XSHG,2022q2,2023-08-30,,-1224813646.65,3115322351.15,,1,62121893131.05,437236663.71,46805855.66,3056558464.76,729955465.9,,78681769415.62,,2023-08-29 20:17:43,-20873699.15,,1017726239.28,1273723514.9,16559876284.57,1273723514.9,,86126061.15,
601456.XSHG,2022q3,2023-10-28,,-1687632397.02,-43292055.14,,1,52124905598.91,643534947.46,60713246.32,3261995055.11,1253294276.82,,68806722430.94,,2023-10-27 20:19:31,484994316.82,,1978657937.82,2054741067.4,16681816832.03,2054741067.4,,,
601456.XSHG,2022q4,2025-03-27,,883367422.66,-2163849251.24,,1,57621443646.32,767284571.89,65608021.57,3105916937.9,1659999797.3,,74381996357.05,,2025-03-26 20:12:51,732426699.26,,1534788469.95,2622939104.01,16760552710.73,2622939104.01,,81439900.43,
601456.XSHG,2023q1,2024-04-30,,-373105033.42,-1009265870.12,,1,64614725353.91,207346319.54,72011346.25,3299508756.08,400559791.85,,81893361986.5,,2024-04-29 20:16:46,595941570.87,,3105231583.65,678374714.39,17278636632.59,678374714.39,,,
601456.XSHG,2023q2,2024-08-31,,2627617632.8,-1276959378.3,,1,68059041318.05,601043761.99,571388946.7,3684584248.29,1049152984.49,,86160832412.0,,2024-08-30 20:15:35,773530276.95,,3368367122.52,1807078426.17,18101791093.95,1807078426.17,,94304281.94,
601456.XSHG,2023q3,2024-10-31,,-1650034767.9,151080677.81,,1,71648253281.72,725700550.97,546041735.7,3797884271.94,1616022509.24,,89882664010.2,,2024-10-30 20:19:04,788021562.18,,4074950703.99,2507217168.06,18234410728.48,2507217168.06,,,
601456.XSHG,2023q4,2026-03-28,,-713982446.86,-904820989.2,,1,69005316900.5,674549707.94,545051619.72,3543713340.4,2143656482.24,,87128874813.89,,2026-03-28 04:16:14,545426325.76,,3720750795.36,2955461374.61,18123557913.39,2955461374.61,,101738420.46,
601456.XSHG,2024q1,2025-04-30,,-1018886181.06,2645572124.88,,1,74964364077.0,-216647616.36,549012989.17,3312831955.42,473490650.96,,93232012683.67,,2025-04-29 20:19:48,-867995651.16,,1179492480.52,173420445.95,18267648606.67,173420445.95,,,
601456.XSHG,2024q2,2025-08-29,,6367623822.02,1539853736.81,,1,74711611952.12,90621381.8,533575179.62,3203519440.13,1034489629.57,,93333039263.26,,2025-08-28 20:17:53,-359290713.16,,932986060.79,1085877120.0,18621427311.14,1085877120.0,,89579954.57,
