order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
601618.XSHG,2010q1,2011-04-28,31661835000.0,-4644525000.0,-2902708000.0,65731894000.0,1,198970198000.0,1344483000.0,16619635000.0,3274481000.0,,31839705000.0,246496411000.0,5575734000.0,2022-01-01 21:59:15,29213000.0,143118981000.0,9862803000.0,36667165000.0,47526213000.0,36667165000.0,190445394000.0,17748887000.0,463249000.0
601618.XSHG,2010q2,2011-10-29,77771339000.0,-10713149000.0,-4940241000.0,74252743000.0,1,212477175000.0,2523443000.0,16866064000.0,5295852000.0,,34697978000.0,262400396000.0,6705741000.0,2022-08-09 18:20:48,81657000.0,157506628000.0,17507852000.0,89030188000.0,49923221000.0,89030188000.0,203600311000.0,18216614000.0,1600663000.0
601618.XSHG,2010q3,2011-10-29,119756640000.0,-19123956000.0,-6693445000.0,88924946000.0,1,223893274000.0,3355148000.0,16969372000.0,6072518000.0,,36096240000.0,275102121000.0,7318602000.0,2022-01-01 21:59:15,137125000.0,163655506000.0,21990520000.0,135831105000.0,51208847000.0,135831105000.0,215418523000.0,18084946000.0,2244123000.0
601618.XSHG,2010q4,2012-03-30,179851534000.0,-25120555000.0,-11334730000.0,88901091000.0,1,234707549000.0,5570615000.0,18836871000.0,7604857000.0,,37333415000.0,288220724000.0,7820729000.0,2022-01-01 21:59:15,398786000.0,174165430000.0,31177684000.0,206791816000.0,53513175000.0,206791816000.0,214994346000.0,23647209000.0,2743071000.0
601618.XSHG,2011q1,2012-04-28,37667604000.0,-12742193000.0,-1088818000.0,98128621000.0,1,257191364000.0,1370885000.0,19157323000.0,8800991000.0,,39711377000.0,312061952000.0,8086792000.0,2022-01-01 21:59:15,69719000.0,191997649000.0,17711034000.0,43010636000.0,54870588000.0,43010636000.0,237382395000.0,23118201000.0,586879000.0
601618.XSHG,2011q2,2012-10-31,93494036000.0,-13500366000.0,-4173129000.0,103903342000.0,1,263710555000.0,2285331000.0,19675822000.0,8675721000.0,,42703735000.0,319205745000.0,8644411000.0,2022-08-09 18:20:48,246902000.0,198614577000.0,15267128000.0,106149762000.0,55495190000.0,106149762000.0,235193916000.0,23777955000.0,1609315000.0
601618.XSHG,2011q3,2012-10-31,143417820000.0,-12039886000.0,-5879998000.0,110371290000.0,1,270088029000.0,3085535000.0,19113005000.0,9309909000.0,,44168760000.0,326263644000.0,7953980000.0,2022-01-01 21:59:15,292041000.0,200228435000.0,15713828000.0,162084009000.0,56175615000.0,162084009000.0,243151633000.0,24362797000.0,2872699000.0
601618.XSHG,2011q4,2013-03-29,202743928000.0,-12631374000.0,-7874571000.0,106120528000.0,1,273856160000.0,3712567000.0,19698411000.0,10950111000.0,,43535776000.0,332030962000.0,8103587000.0,2022-01-01 21:59:15,1132286000.0,213369870000.0,23988752000.0,230178204000.0,58174802000.0,230178204000.0,239684265000.0,26227417000.0,3812861000.0
601618.XSHG,2012q1,2013-04-27,39487592000.0,-9244178000.0,-2219391000.0,117296616000.0,1,281540704000.0,827272000.0,19667102000.0,11813499000.0,,47435728000.0,340896068000.0,10557326000.0,2022-01-01 21:59:15,25282000.0,219570659000.0,1091293000.0,44852968000.0,59355364000.0,44852968000.0,247095817000.0,25264462000.0,935728000.0
601618.XSHG,2012q2,2013-10-30,94165103000.0,-9171194000.0,-2440079000.0,115883431000.0,1,290394048000.0,-456929000.0,18045038000.0,10763983000.0,,51937980000.0,348172306000.0,11444889000.0,2022-08-09 18:20:48,87668000.0,229900674000.0,2505191000.0,107014192000.0,57778258000.0,107014192000.0,250457873000.0,24760082000.0,2147432000.0
601618.XSHG,2012q3,2013-10-30,136750341000.0,-10628911000.0,-2993119000.0,119199243000.0,1,294683510000.0,244211000.0,18128756000.0,11611648000.0,,54711195000.0,353122300000.0,10217670000.0,2022-01-01 21:59:15,183830000.0,227124193000.0,1996815000.0,155280213000.0,58438790000.0,155280213000.0,255079762000.0,25192921000.0,3073947000.0
601618.XSHG,2012q4,2014-03-29,195173148000.0,4386582000.0,-4888500000.0,110340270000.0,1,273391936000.0,-10348039000.0,15444430000.0,3735610000.0,,46943639000.0,326226523000.0,8218506000.0,2022-01-01 21:59:15,3544076000.0,209351430000.0,-10113290000.0,221119698000.0,52834587000.0,221119698000.0,239262537000.0,34643869000.0,4345260000.0
