order_book_id,quarter,info_date,cost_of_goods_sold,cash_flow_from_operating_activities,cash_flow_from_investing_activities,inventory,if_adjusted,total_liabilities,net_profit,intangible_assets,undistributed_profit,operating_expense,net_accts_receivable,total_assets,notes_payable,rice_create_tm,investment_income,current_liabilities,cash_flow_from_financing_activities,revenue,total_equity,operating_revenue,current_assets,net_fixed_assets,financing_expense
603589.XSHG,2011q4,2014-05-14,791908949.08,218140880.33,-121106577.35,687887856.23,0,1196950036.19,396685071.52,148187369.5,527565821.97,,27024340.04,2442508924.77,399700000.0,2021-12-25 21:16:23,,1196950036.19,-120096440.74,2092420966.93,1245558888.58,2092420966.93,1563230994.82,631884283.62,12461327.14
603589.XSHG,2012q4,2015-06-10,959499158.8,422900892.07,-148308025.8,908061175.55,0,1436545219.87,455973269.45,214004224.11,895531427.36,,28852340.26,3084077377.9,286670000.0,2021-12-25 21:16:23,,1376545219.87,35685006.02,2506547079.95,1647532158.03,2506547079.95,2023339920.64,717004330.64,12904861.06
603589.XSHG,2013q4,2015-06-10,907239642.51,277667299.42,-152994306.32,1127209619.17,0,1632866579.12,398167027.37,275622463.7,1171303151.93,,25511778.07,3597565764.52,393040000.0,2021-12-25 21:16:23,,1572866579.12,-142921873.69,2447151233.39,1964699185.4,2447151233.39,2311645502.94,762478023.99,13109713.71
603589.XSHG,2014q1,2015-06-10,,-110347400.0,-22503300.0,,1,,130066600.0,,,,,,,2021-12-25 21:16:23,,,8772700.0,665665500.0,,665665500.0,,,
603589.XSHG,2014q2,2015-10-29,373076781.68,-93477333.33,-65028145.12,,1,,172436347.07,,,,,,,2022-08-09 18:54:32,2621862.73,,84358605.01,1098810842.04,,1098810842.04,,,7533284.56
603589.XSHG,2014q3,2015-10-29,585372078.61,-101255209.34,-25681631.71,,1,,353250494.87,,,,,,,2021-12-25 21:16:23,4361010.33,,-52335981.66,1783371104.64,,1783371104.64,,,12303606.11
603589.XSHG,2014q4,2016-04-28,732017398.19,104913845.31,-31696748.52,1279343377.31,1,1382785976.7,422139613.29,253407957.78,1444350000.71,,6221105.9,3661624775.39,252080000.0,2021-12-25 21:16:23,5346440.33,1262785976.7,-128728482.22,2258553837.12,2278838798.69,2258553837.12,2209736797.49,809673125.02,17367632.21
603589.XSHG,2015q1,2016-04-28,228199027.05,-151919546.3,-18182443.69,,1,1375515400.0,175278589.25,,,,,3721632800.0,,2021-12-25 21:16:23,,1255515400.0,-5144958.33,738068938.88,2346117400.0,738068938.88,2259278300.0,,3774024.3
603589.XSHG,2015q2,2016-10-27,414956466.64,34310163.48,-28476175.68,1358746601.79,1,1344419499.89,271607608.90000004,250403796.54,1607957609.61,,17947512.1,4678237253.41,218820000.0,2022-08-09 18:54:32,,1224419499.89,808914504.29,1308574777.52,3333817753.52,1308574777.52,3152146159.09,962949130.15,7191743.9
603589.XSHG,2015q3,2016-10-27,630971285.31,331598932.8,-478799973.87,1385351085.98,1,1186088214.97,538830165.46,249694448.82,1875180166.17,,16674571.99,4787128525.05,289270000.0,2021-12-25 21:16:23,,1166088214.97,515767694.48,2113554950.16,3601040310.08,2113554950.16,3205234819.14,956246579.77,8772672.98
603589.XSHG,2015q4,2017-04-28,779527648.9,536196915.85,-792756233.36,1494612646.0,1,1309011993.58,605396944.89,294554726.33,1892225484.54,,15548582.99,4976619083.09,349660000.0,2021-12-25 21:16:23,302054.79,1289011993.58,519655904.49,2584012482.99,3667607089.51,2584012482.99,3320911000.21,944222837.84,6224313.21
603589.XSHG,2016q1,2017-04-28,246913572.03,-94407848.65,-88737774.11,1503540145.41,1,1133924958.43,270717323.27,293612380.54,2162942807.81,,20159459.6,5072249371.21,310100000.0,2021-12-25 21:16:23,3839452.05,1113924958.43,-61134658.04,887790639.0,3938324412.78,887790639.0,3274460530.35,930237717.86,-399099.35
603589.XSHG,2016q2,2017-10-30,422439378.77000004,-27659559.63,-137720696.39,1546047205.4,1,1148321333.76,404921896.34000003,354307075.05,2087147380.88,,14331444.08,5010850319.61,292710000.0,2022-08-09 18:54:32,8491123.290000001,1103321333.76,-291493737.51,1482567106.2300003,3862528985.85,1482567106.2300003,3197294684.65,1144595795.15,-1708015.87
603589.XSHG,2016q3,2017-10-30,639688101.07,291909785.59,-444071292.32,1544865909.25,1,1187646425.36,712395710.58,352817205.21,2394621195.12,,18925237.81,5357649225.45,259450000.0,2021-12-25 21:16:23,15585876.71,1142646425.36,-311687457.51,2334965401.53,4170002800.09,2334965401.53,3535810577.61,1135010377.13,-4788852.08
603589.XSHG,2016q4,2019-04-18,779968077.04,639672697.01,-592077590.13,1675809846.1,1,1448974329.43,783464180.93,349950715.53,2397928491.52,,17339682.17,5690045599.87,240450000.0,2021-12-25 21:16:23,22448519.17,1403974329.43,-306530057.51,2830178670.27,4241071270.44,2830178670.27,3802940493.22,1164556465.56,-5338988.83
603589.XSHG,2017q1,2018-04-27,280966972.7,197991704.73,-17239143.39,1635060204.56,1,1356765486.52,327025383.88,347772535.77,2724953875.4,,18744505.45,5924862140.84,176930000.0,2021-12-25 21:16:23,8684071.23,1311765486.52,,1032785093.36,4568096654.32,1032785093.36,4002486066.83,1179397504.32,-1007110.86
603589.XSHG,2017q2,2018-10-30,490684559.71999997,286423206.23,-40570846.5,1686704248.83,1,1683181940.31,525860017.03999996,384444764.36,2653788508.56,,16300048.28,6180113227.79,221905000.0,2022-08-09 18:54:32,20248743.14,1638181940.31,-96351798.15,1745909826.2400002,4496931287.48,1745909826.2400002,4192855395.59,1168089597.89,-2747101.7800000003
603589.XSHG,2017q3,2018-10-30,759324401.68,797820725.74,-282900983.83,1684103039.62,1,1732760459.6,901005245.64,422422635.19,3028933737.16,,16003119.09,6604836975.68,339045000.0,2021-12-25 21:16:23,31298509.91,1687760459.6,-270000000.0,2715231243.88,4872076516.08,2715231243.88,4549906485.32,1164494484.51,-7862027.87
603589.XSHG,2017q4,2020-04-28,976495536.71,1568834569.86,-598244104.06,1800116356.65,1,2591622891.9,1113662962.56,424173865.82,3148257740.35,,12025607.18,7676357124.9,398463309.08,2021-12-25 21:16:23,47939569.48,2526622891.9,-270000000.0,3602647169.79,5084734233.0,3602647169.79,5587343793.38,1138086561.86,-10167618.88
603589.XSHG,2018q1,2019-04-18,315669667.85,-160106165.25,-67786964.7,1806914394.35,1,1685274096.34,448677422.94,421590760.05,3596935163.29,,15574811.0,7218685752.28,359593309.08,2021-12-25 21:16:23,8937260.27,1620274096.34,,1249877474.64,5533411655.94,1249877474.64,5058504371.36,1127707693.25,-2048059.78
603589.XSHG,2018q2,2019-10-29,552957198.24,4819573.43,-393092246.67,1911711307.0,1,2278072416.21,733315043.9000001,431512880.42,3431572784.25,,16079738.97,7646121693.11,343450000.0,2022-08-09 18:54:32,22087003.13,2213072416.21,,2159157155.31,5368049276.9,2159157155.31,5358495613.98,1189134165.15,-3496085.46
603589.XSHG,2018q3,2019-10-29,823080674.04,398148692.8,-545223298.14,1917556269.2,1,1811696705.31,1141372888.68,428740774.69,3839630629.03,,12493887.74,7587803826.99,,2021-12-25 21:16:23,46915523.32,1746696705.31,-450000000.0,3207494339.15,5776107121.68,3207494339.15,5195660150.77,1287682877.44,-6583483.05
603589.XSHG,2018q4,2021-04-29,1094228904.34,1119715713.93,-748834883.61,2015899531.84,1,2682907643.34,1532663534.76,463964565.17,4255071891.87,,13132069.08,8874456027.86,423040000.0,2021-12-25 21:16:23,83648154.78,2601735669.83,-450000000.0,4268964661.64,6191548384.52,4268964661.64,6443538306.23,1325604243.03,-8001643.14
