Minute,Prefix,K1,K2,DTE,Credit,Margin,Exp Return,Ann Return,Action
2026-03-23 09:30:00,[MO],8200,8300,25,107.40,100.00,7.40%,108.04%,Sell MO2604C8200; Buy MO2604C8300; Sell MO2604P8300; Buy MO2604P8200
2026-03-23 09:31:00,[MO],8200,8300,25,108.40,100.00,8.40%,122.64%,Sell MO2604C8200; Buy MO2604C8300; Sell MO2604P8300; Buy MO2604P8200
2026-03-23 09:32:00,[MO],7300,7600,25,300.60,300.00,0.20%,2.92%,Sell MO2604C7300; Buy MO2604C7600; Sell MO2604P7600; Buy MO2604P7300
2026-03-23 09:33:00,[MO],8100,8200,25,101.60,100.00,1.60%,23.36%,Sell MO2604C8100; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8100
2026-03-23 09:34:00,[MO],8000,8200,25,203.00,200.00,1.50%,21.90%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 09:35:00,[MO],7900,8100,25,202.00,200.00,1.00%,14.60%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 09:36:00,[MO],8000,8200,25,203.20,200.00,1.60%,23.36%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 09:37:00,[HO],2850,3100,25,251.40,250.00,0.56%,8.18%,Sell HO2604C2850; Buy HO2604C3100; Sell HO2604P3100; Buy HO2604P2850
2026-03-23 09:38:00,[MO],7900,8100,25,201.20,200.00,0.60%,8.76%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 09:39:00,[MO],8000,8100,25,102.20,100.00,2.20%,32.12%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 09:40:00,[MO],8000,8100,25,102.00,100.00,2.00%,29.20%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 09:41:00,[MO],8000,8100,25,101.60,100.00,1.60%,23.36%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 09:42:00,[MO],7900,8100,25,200.60,200.00,0.30%,4.38%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 09:43:00,[MO],8000,8100,25,104.20,100.00,4.20%,61.32%,Sell MO2604C8000; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P8000
2026-03-23 09:44:00,[MO],7600,7700,25,100.60,100.00,0.60%,8.76%,Sell MO2604C7600; Buy MO2604C7700; Sell MO2604P7700; Buy MO2604P7600
2026-03-23 09:45:00,,,,,,,,,
2026-03-23 09:46:00,,,,,,,,,
2026-03-23 09:47:00,[MO],8000,8400,25,400.40,400.00,0.10%,1.46%,Sell MO2604C8000; Buy MO2604C8400; Sell MO2604P8400; Buy MO2604P8000
2026-03-23 09:48:00,,,,,,,,,
2026-03-23 09:49:00,[MO],7900,8100,25,200.40,200.00,0.20%,2.92%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 09:50:00,,,,,,,,,
2026-03-23 09:51:00,[MO],7900,8100,25,200.00,200.00,0.00%,0.00%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 09:52:00,,,,,,,,,
2026-03-23 09:54:00,,,,,,,,,
2026-03-23 09:55:00,,,,,,,,,
2026-03-23 09:56:00,,,,,,,,,
2026-03-23 09:57:00,,,,,,,,,
2026-03-23 09:58:00,,,,,,,,,
2026-03-23 09:59:00,[MO],8000,8200,25,201.00,200.00,0.50%,7.30%,Sell MO2604C8000; Buy MO2604C8200; Sell MO2604P8200; Buy MO2604P8000
2026-03-23 10:00:00,,,,,,,,,
2026-03-23 10:01:00,,,,,,,,,
2026-03-23 10:02:00,[MO],7900,8100,25,200.80,200.00,0.40%,5.84%,Sell MO2604C7900; Buy MO2604C8100; Sell MO2604P8100; Buy MO2604P7900
2026-03-23 10:03:00,,,,,,,,,
2026-03-23 10:04:00,[MO],7900,8600,25,700.40,700.00,0.06%,0.83%,Sell MO2604C7900; Buy MO2604C8600; Sell MO2604P8600; Buy MO2604P7900
2026-03-23 10:05:00,[MO],7600,7700,25,100.60,100.00,0.60%,8.76%,Sell MO2604C7600; Buy MO2604C7700; Sell MO2604P7700; Buy MO2604P7600
